ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;1138;Grimm, 11 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via FRATELLI GRIMM 11;1644;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.20610275251;45.5183128026;(45.5183128026, 9.20610275251)
1415;1139;MARIA IMMACOLATA;Scuola dell'infanzia;Ente religioso;SI;Viale GIOVANNI SUZZANI 64;1446;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19905107275;45.5084231578;(45.5084231578, 9.19905107275)
1415;1140;Monterotondo, 10 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via MONTE ROTONDO 10;1449;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.1950147185;45.5143370048;(45.5143370048, 9.1950147185)
1415;1141;SANTAGOSTINO PAOLO;Scuola dell'infanzia;Ente religioso;SI;Piazza BELLOVESO 6;1593;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.19464440329;45.5155223274;(45.5155223274, 9.19464440329)
1415;1142;Suzzani ;Scuola dell'infanzia;Statale;No;Viale GIOVANNI SUZZANI 240;1446;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.20681019556;45.5212935456;(45.5212935456, 9.20681019556)
1415;1143;Thomas Mann, 9 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via THOMAS MANN 9;1701;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.20836584766;45.5238121635;(45.5238121635, 9.20836584766)
1415;1144;RICCI ACHILLE;Scuola dell'infanzia;Ente privato laico;SI;Via CAMILLO SBARBARO 11;1712;9;84;PARCO NORD;9.18218601178;45.5171750965;(45.5171750965, 9.18218601178)
1415;1147;Carnovali, 18 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GIOVANNI CARNOVALI 18;2614;2;16;GORLA - PRECOTTO;9.23035030324;45.5131872436;(45.5131872436, 9.23035030324)
1415;1148;Cesalpino, 38 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ANDREA CESALPINO 38;2467;2;16;GORLA - PRECOTTO;9.23229058789;45.5076174216;(45.5076174216, 9.23229058789)
1415;1149;CRISTO RE;Scuola dell'infanzia;Ente religioso;SI;Via GALENO 32;2447;2;16;GORLA - PRECOTTO;9.22414139323;45.5200223989;(45.5200223989, 9.22414139323)
1415;1150;ISTITUTO INFANTILE DI CRESCENZAGO SACCHI;Scuola dell'infanzia;Ente religioso;SI;Via PADOVA 269;2275;2;19;PADOVA - TURRO - CRESCENZAGO;9.24522356028;45.5078676882;(45.5078676882, 9.24522356028)
1415;1151;Giacosa, 44-46 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GIUSEPPE GIACOSA 44;2310;2;20;LORETO - CASORETTO - NOLO;9.22191796948;45.4943562856;(45.4943562856, 9.22191796948)
1415;1152;CISLAGHI LUIGI;Scuola dell'infanzia;Ente religioso;SI;Via BERNARDO RUCELLAI 15;2345;2;16;GORLA - PRECOTTO;9.22231115669;45.5124776502;(45.5124776502, 9.22231115669)
1415;1153;FIGLIE PRESENTAZIONE DI MARIA;Scuola dell'infanzia;Ente religioso;SI;Via LUIGI VARANINI 23;2288;2;20;LORETO - CASORETTO - NOLO;9.21507848527;45.4930491216;(45.4930491216, 9.21507848527)
1415;1154;PREZIOSISSIMO SANGUE;Scuola dell'infanzia;Ente religioso;SI;Via PADRE PLACIDO RICCARDI 5;2385;2;19;PADOVA - TURRO - CRESCENZAGO;9.23897213571;45.5014364398;(45.5014364398, 9.23897213571)
1415;1155;Rovetta, 1 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GEROLAMO ROVETTA 1;2333;2;19;PADOVA - TURRO - CRESCENZAGO;9.22502784986;45.4988075244;(45.4988075244, 9.22502784986)
1415;1156;Rucellai;Scuola dell'infanzia;Statale;No;Via BERNARDO RUCELLAI 19;2345;2;16;GORLA - PRECOTTO;9.22151146205;45.512282362;(45.512282362, 9.22151146205)
1415;1157;Russo, 20 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via VINCENZO RUSSO 20;2328;2;19;PADOVA - TURRO - CRESCENZAGO;9.22658128492;45.4974383427;(45.4974383427, 9.22658128492)
1415;1158;S. Erlembardo, 4 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via SANT'ERLEMBALDO 4;2356;2;16;GORLA - PRECOTTO;9.2204418605;45.5054932355;(45.5054932355, 9.2204418605)
1415;1160;S. Mamete, 13 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via SAN MAMETE 13;2413;2;17;ADRIANO;9.24846704619;45.5110452938;(45.5110452938, 9.24846704619)
1415;1161;SANTA MARTA;Scuola dell'infanzia;Ente religioso;SI;Via SAN GIOVANNI BATTISTA DE LA SALLE 5;2514;2;19;PADOVA - TURRO - CRESCENZAGO;9.24158759144;45.502520912;(45.502520912, 9.24158759144)
1415;1162;Sant'Uguzzone ;Scuola dell'infanzia;Statale;No;Via SANT'UGUZZONE 10;2448;2;16;GORLA - PRECOTTO;9.22555279207;45.520721335;(45.520721335, 9.22555279207)
1415;1163;Soffredini, 23 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via ALFREDO SOFFREDINI 23;2440;2;16;GORLA - PRECOTTO;9.223872073827406;45.51532186547103;(45.51532186547103, 9.223872073827406)
1415;1164;SANTISSIMI INNOCENTI;Scuola dell'infanzia;Ente religioso;SI;Via ASIAGO 5;2459;2;16;GORLA - PRECOTTO;9.22521414967;45.5052468195;(45.5052468195, 9.22521414967)
1415;1165;Venini, 80 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GIULIO E CORRADO VENINI 80;2258;2;20;LORETO - CASORETTO - NOLO;9.2172409745;45.4948060834;(45.4948060834, 9.2172409745)
1415;1167;CASA DEI BAMBINI MONTESSORI;Scuola dell'infanzia;Ente privato laico;SI;Piazza SAN GEROLAMO 6;3316;4;25;CORSICA;9.23683560869;45.4693991904;(45.4693991904, 9.23683560869)
1415;1168;Corsica, 94 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Viale CORSICA 94;3262;4;25;CORSICA;9.23609877186;45.4617244415;(45.4617244415, 9.23609877186)
1415;1169;Cova, 1 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GIOVANNI COVA 1;3158;4;25;CORSICA;9.23572229871;45.4688583069;(45.4688583069, 9.23572229871)
1415;1170;Devoto, 7 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via LUIGI DEVOTO 7;3275;4;25;CORSICA;9.23404344266;45.4637937998;(45.4637937998, 9.23404344266)
1415;1171;Reni,1 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GUIDO RENI 1;3205;3;22;CITTA' STUDI;9.22577694779;45.4704676314;(45.4704676314, 9.22577694779)
1415;1172;Reni, 11 Scuola Infanzia;Scuola dell'infanzia;Comunale;SI;Via GUIDO RENI 11;3205;3;22;CITTA' STUDI;9.22577709062;45.4715626117;(45.4715626117, 9.22577709062)
1415;1173;ROSSELLO GIUSEPPA;Scuola dell'infanzia;Ente religioso;SI;Via CARLO GOLDONI 68;3183;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.2204083758;45.4692415088;(45.4692415088, 9.2204083758)
1415;1174;CASA DEI BAMBINI MICHELANGELO VIRGILLITO;Scuola dell'infanzia;Ente religioso;SI;Piazza EDOARDO FERRAVILLA 2;3125;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.22286625265;45.4707610954;(45.4707610954, 9.22286625265)
1415;1175;MARIA CONSOLATRICE;Scuola dell'infanzia;Ente religioso;SI;Viale CORSICA 82;3262;4;25;CORSICA;9.23416879627;45.4619523269;(45.4619523269, 9.23416879627)
