ANNOSCOL;CODICE;DENOMINAZIONE;GRADO;TIPO;PARITARIA;INDIRIZZO;CODVIA;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
1415;2040;GIANNI RODARI;Scuola primaria;Statale;No;Via GIUSEPPE BOTTELLI 1;1419;2;13;GRECO - SEGNANO;9.21079640136;45.5029535281;(45.5029535281, 9.21079640136)
1415;2041;PIO MENOTTI - MURATORI;Scuola primaria;Statale;No;Via EMANUELE MUZIO 5;1218;2;12;MACIACHINI - MAGGIOLINA;9.20029561222;45.4907547439;(45.4907547439, 9.20029561222)
1415;2042;LOCATELLI ANTONIO;Scuola primaria;Statale;No;Via VEGLIA 80;1337;9;12;MACIACHINI - MAGGIOLINA;9.19642029805;45.5028356188;(45.5028356188, 9.19642029805)
1415;2043;ARBE - ZARA;Scuola primaria;Statale;No;Viale ZARA 96;1170;2;12;MACIACHINI - MAGGIOLINA;9.19559137583;45.4965514082;(45.4965514082, 9.19559137583)
1415;2045;ISTITUTO GONZAGA;Scuola primaria;Ente religioso;SI;Via VITRUVIO 41;2134;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.20604471595;45.4825871033;(45.4825871033, 9.20604471595)
1415;2046;MARGHERITA DI SAVOIA - CARDINALE BORROMEO;Scuola primaria;Statale;No;Via FELICE CASATI 6;2122;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.20665466664;45.4774220763;(45.4774220763, 9.20665466664)
1415;2047;Bacone ;Scuola primaria;Statale;No;Via CARLO MATTEUCCI 3;2167;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21598001652;45.4812078037;(45.4812078037, 9.21598001652)
1415;2048;ANTONIO STOPPANI;Scuola primaria;Statale;No;Via ANTONIO STOPPANI 1;2163;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21166036417;45.4761535865;(45.4761535865, 9.21166036417)
1415;2049;CARLO PISACANE - CARLO POERIO;Scuola primaria;Statale;No;Via CARLO PISACANE 9;2188;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.21106284796;45.4694226376;(45.4694226376, 9.21106284796)
1415;2052;EMILIO MOROSINI - MARIA BEATRICE DI SAVOIA;Scuola primaria;Statale;No;Via EMILIO MOROSINI 11;3073;4;26;XXII MARZO;9.21142874166;45.4604243206;(45.4604243206, 9.21142874166)
1415;2053;MARIA AUSILIATRICE;Scuola primaria;Ente religioso;SI;Via BONVESIN DE LA RIVA 12;3087;4;26;XXII MARZO;9.21216397768;45.4636771379;(45.4636771379, 9.21216397768)
1415;2054;TOMMASO GROSSI;Scuola primaria;Statale;No;Via MONTE VELINO 2;3338;4;29;ORTOMERCATO;9.22450950936;45.4528669702;(45.4528669702, 9.22450950936)
