Identifiant station;Code postal;Adresse;Opérateurs;Motorisation;Etat fonctionnel;URL Opérateur;Complément adresse;Nombre de places réservées;geo_shape;geo_point_2d
18-T079;75016;54 AVENUE RAYMOND POINCARE;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.286179999765965, 48.86705700008093], ""type"": ""Point""}";48.86705700008093,2.286179999765965
18-T124;75019;87 RUE DE CRIMEE;Ubeeqo;Thermique & hybride;oui;https://www.ubeeqo.com/;;2;"{""coordinates"": [2.3848919998848057, 48.88347299975309], ""type"": ""Point""}";48.88347299975309,2.3848919998848057
18-T128;75019;28 BIS RUE DE THIONVILLE;Communauto;Thermique & hybride;oui;https://paris.communauto.com/;;2;"{""coordinates"": [2.3843204994026372, 48.88958399959066], ""type"": ""Point""}";48.88958399959066,2.3843204994026372
E-008;75004;41 BOULEVARD BOURDON;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.367796500191342, 48.85249500034892], ""type"": ""Point""}";48.85249500034892,2.367796500191342
E-014;75006;18 RUE MADAME;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.3317604997791888, 48.85091100007405], ""type"": ""Point""}";48.85091100007405,2.3317604997791888
E-033;75010;67 RUE LOUIS BLANC;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;6;"{""coordinates"": [2.3600880002972477, 48.88371599992754], ""type"": ""Point""}";48.88371599992754,2.3600880002972477
E-115;75018;70 BOULEVARD DE CLICHY;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;5;"{""coordinates"": [2.3339115001158692, 48.88362600024784], ""type"": ""Point""}";48.88362600024784,2.3339115001158692
E-135;75019;1 RUE DES BOIS;Ubeeqo (avec bornes);Electrique & hybride rechargeable;oui;https://www.ubeeqo.com/;;4;"{""coordinates"": [2.3968934995347246, 48.87812700020196], ""type"": ""Point""}";48.87812700020196,2.3968934995347246
U-017;75009;23 BOULEVARD DE CLICHY;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.3363730004632965, 48.882446999688], ""type"": ""Point""}";48.882446999688,2.3363730004632965
U-022;75011;8 BOULEVARD RICHARD LENOIR;Clem-e;Electrique & hybride rechargeable;oui;https://www.clem-e.com/;;5;"{""coordinates"": [2.3701680004628973, 48.85447499974384], ""type"": ""Point""}";48.85447499974384,2.3701680004628973
