id_amat;id_via;num_civico;municipio;stato;categorieveicoli;numero_manufatti;stalli_per_manufatto;stalli_totali;tipomanufatto;ubicazione;LONG_X_4326;LAT_Y_4326;Location
50;6254;4;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.15554772372121;45.4666412730451;"(45.4666412730451, 9.15554772372121)"
52;6254;;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.1548204317344;45.4659653313601;"(45.4659653313601, 9.1548204317344)"
53;6254;12;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.15438506350855;45.4665241466613;"(45.4665241466613, 9.15438506350855)"
54;6254;12;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.15448748832231;45.466777364985;"(45.466777364985, 9.15448748832231)"
55;5438;6;5;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.17167116282346;45.4325327820028;"(45.4325327820028, 9.17167116282346)"
59;601;16;1;Esistente;Velocipedi;1;5;5;Verona;Area pedonale (regolamentata o di fatto);9.17562907487006;45.4679675426509;"(45.4679675426509, 9.17562907487006)"
60;601;16;1;Esistente;Velocipedi;1;5;5;Verona;Area pedonale (regolamentata o di fatto);9.175675771536;45.4680006110222;"(45.4680006110222, 9.175675771536)"
61;601;16;1;Esistente;Velocipedi;2;5;10;Verona;Area pedonale (regolamentata o di fatto);9.17587210039282;45.4681226716139;"(45.4681226716139, 9.17587210039282)"
63;6302;126;7;Esistente;Velocipedi;1;5;5;Verona;Alla quota della carreggiata;9.0916368986534;45.475771714398;"(45.475771714398, 9.0916368986534)"
64;1573;81;9;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.1632135828681;45.5286814921874;"(45.5286814921874, 9.1632135828681)"
65;;0;5;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Area verde – Giardino – Parco;9.17256903310657;45.42039990379;"(45.42039990379, 9.17256903310657)"
66;6782;56;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.08815114603836;45.4654003757854;"(45.4654003757854, 9.08815114603836)"
67;6782;54;7;Esistente;Velocipedi;2;10;20;Verona _ Ambrogio;Marciapiede;9.08841099158393;45.4653296411981;"(45.4653296411981, 9.08841099158393)"
68;711;51;1;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.17803835357695;45.468078844541;"(45.468078844541, 9.17803835357695)"
69;711;51;1;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.17797946303128;45.4681042664358;"(45.4681042664358, 9.17797946303128)"
70;601;2;1;Esistente;Velocipedi;1;5;5;Verona;Marciapiede;9.17792731625079;45.4681284018167;"(45.4681284018167, 9.17792731625079)"
72;6253;6;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.15507165935552;45.4678973642117;"(45.4678973642117, 9.15507165935552)"
73;6253;6;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.15510861791384;45.4680060578632;"(45.4680060578632, 9.15510861791384)"
74;6253;6;7;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Marciapiede;9.15543876938764;45.4675167261899;"(45.4675167261899, 9.15543876938764)"
75;6253;6;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.15540805940597;45.467548834772;"(45.467548834772, 9.15540805940597)"
76;5241;2;5;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.1777637964748;45.4446115713325;"(45.4446115713325, 9.1777637964748)"
77;5241;2;5;Esistente;Velocipedi;3;5;15;Verona _ Ambrogio;Marciapiede;9.17752833045086;45.444774714139;"(45.444774714139, 9.17752833045086)"
78;3265;6;4;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.22430382680617;45.4627069907121;"(45.4627069907121, 9.22430382680617)"
79;4250;50;5;Esistente;Velocipedi;2;5;10;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.19484518213019;45.4370942409874;"(45.4370942409874, 9.19484518213019)"
80;7074;5;8;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.12020110361087;45.4927702806188;"(45.4927702806188, 9.12020110361087)"
81;2395;32;3;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.23655456523158;45.4954568623004;"(45.4954568623004, 9.23655456523158)"
82;1603;38;9;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.18559327643772;45.5198449637001;"(45.5198449637001, 9.18559327643772)"
83;6083;19;7;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.11387279413061;45.4726687996986;"(45.4726687996986, 9.11387279413061)"
84;5143;1;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.15646511657327;45.4512954225087;"(45.4512954225087, 9.15646511657327)"
85;6517;14;7;Esistente;Velocipedi;1;5;5;Verona;Cortile o altro spazio collegato al civico;9.08437851239441;45.4771058872377;"(45.4771058872377, 9.08437851239441)"
86;341;0;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Alla quota della carreggiata;9.18881109311551;45.4632652654396;"(45.4632652654396, 9.18881109311551)"
87;602;43;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Marciapiede;9.17351465659019;45.4616269059511;"(45.4616269059511, 9.17351465659019)"
91;7265;3;8;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;0_Non precisata;9.14752220050304;45.499149565828;"(45.499149565828, 9.14752220050304)"
92;6499;15;7;Esistente;Velocipedi;1;5;5;Verona;0_Non precisata;9.119179718281;45.4680452362531;"(45.4680452362531, 9.119179718281)"
93;3011;2/a;1;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.19817010837067;45.4616054690999;"(45.4616054690999, 9.19817010837067)"
94;6084;19;7;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.11280334172981;45.4737235092053;"(45.4737235092053, 9.11280334172981)"
95;6643;318;7;Esistente;Velocipedi;1;5;5;Verona;0_Non precisata;9.09984335975204;45.4599642192806;"(45.4599642192806, 9.09984335975204)"
96;1701;9;9;Esistente;Velocipedi;1;5;5;Verona _ Ambrogio;Cortile o altro spazio collegato al civico;9.20827474125332;45.5238720138424;"(45.5238720138424, 9.20827474125332)"
97;1286;38;9;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.17616874752233;45.5001690546;"(45.5001690546, 9.17616874752233)"
98;6274;15;7;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.1473345610517;45.4604822783051;"(45.4604822783051, 9.1473345610517)"
99;7203;10;8;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.1681505318791;45.4834568133122;"(45.4834568133122, 9.1681505318791)"
100;5307;10/1;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.15702912784396;45.4395324750085;"(45.4395324750085, 9.15702912784396)"
101;3350;12;4;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.24720403406599;45.4568674852733;"(45.4568674852733, 9.24720403406599)"
102;2213;9;3;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.21842275385015;45.4794050333705;"(45.4794050333705, 9.21842275385015)"
103;6686;2;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.12829661846392;45.4499463672221;"(45.4499463672221, 9.12829661846392)"
104;1589;5;9;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.19315341524546;45.515040940702;"(45.515040940702, 9.19315341524546)"
105;1426;40;9;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.20356831986419;45.5080231029397;"(45.5080231029397, 9.20356831986419)"
107;7476;;8;Esistente;Velocipedi;1;5;5;Redondo Inox;0_Non precisata;9.13373464072871;45.5178296515228;"(45.5178296515228, 9.13373464072871)"
131;5296;21;6;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.15744208226301;45.4447270290844;"(45.4447270290844, 9.15744208226301)"
133;1427;24;9;Esistente;Velocipedi;1;5;5;Redondo Inox;Cortile o altro spazio collegato al civico;9.20484126857965;45.5069196751706;"(45.5069196751706, 9.20484126857965)"
