linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
566;BUS;7655;;Milano - Bollate (Marx);Canonico;6.25;14;9.11062621360443;45.5370029727881;"(45.5370029727881, 9.11062621360443)"
566;BUS;7657;;Milano - Bollate (Marx trans Sauro);Barrato;3.83;9;9.11658791305073;45.5309840111531;"(45.5309840111531, 9.11658791305073)"
57;BUS;7542;Di;Cairoli - Q.to Oggiaro;Canonico;9.21;32;9.15517419004072;45.494632015578;"(45.494632015578, 9.15517419004072)"
57;BUS;7543;Di;Cairoli- Q.to Oggiaro (cap. dopo le 21);Barrato;9.21;32;9.15509826249256;45.4945165170738;"(45.4945165170738, 9.15509826249256)"
57;BUS;7547;As;Q.to Oggiaro - Cairoli;Canonico;9.31;30;9.15645741088245;45.4935044083391;"(45.4935044083391, 9.15645741088245)"
57;BUS;7548;As;Q.to Oggiaro - Cairoli (cap. dopo le 21);Barrato;9.31;31;9.15638811697666;45.493393054096;"(45.493393054096, 9.15638811697666)"
58;BUS;11299;Di;Minghetti  - Noale;Canonico;11.71;39;9.12978460150927;45.4586325390297;"(45.4586325390297, 9.12978460150927)"
58;BUS;9878;As;Noale - Minghetti;Canonico;11.15;37;9.13042173021587;45.4578862648892;"(45.4578862648892, 9.13042173021587)"
60;BUS;10084;As;Zara M3 M5 - L.go Augusto;Canonico;6.22;23;9.20533956569298;45.4747524542134;"(45.4747524542134, 9.20533956569298)"
60;BUS;9670;Di;L.go Augusto - Zara M3 M5;Canonico;6.59;24;9.20450833278164;45.476592279328;"(45.476592279328, 9.20450833278164)"
61;BUS;12142;As;Murani - P.za Napoli;Canonico;10.44;34;9.18977425032011;45.4691523761859;"(45.4691523761859, 9.18977425032011)"
61;BUS;12728;Di;Napoli - L.go Murani;Canonico;11.07;41;9.19200209853032;45.4687447028871;"(45.4687447028871, 9.19200209853032)"
62;BUS;5099;As;Sire Raul - Lodi;Canonico;7.28;25;9.21733323559943;45.4711358361038;"(45.4711358361038, 9.21733323559943)"
62;BUS;7123;Di;Lodi - Sire Raul;Canonico;7.19;23;9.21721760627387;45.4703596771257;"(45.4703596771257, 9.21721760627387)"
63;BUS;10769;Di;De Angeli M1 - Muggiano;Canonico;10.02;31;9.106119569614;45.4581976572274;"(45.4581976572274, 9.106119569614)"
63;BUS;10770;Di;63/ Bisceglie M1 - Muggiano;Barrato;6.12;19;9.09004728865136;45.4550732153577;"(45.4550732153577, 9.09004728865136)"
63;BUS;11197;As;63/ Muggiano - Bisceglie M1;Barrato;5.76;18;9.08902058329465;45.4551536136806;"(45.4551536136806, 9.08902058329465)"
63;BUS;11198;As;Muggiano - De Angeli M1;Canonico;10.07;32;9.10685129681134;45.458385050719;"(45.458385050719, 9.10685129681134)"
63;BUS;11213;As;63/ Degli Ulivi - Bisceglie M1;Barrato;7.57;24;9.11756547502964;45.4603337768414;"(45.4603337768414, 9.11756547502964)"
64;BUS;10089;As;Molinetto - Bonola M1;Canonico;9.56;28;9.11800809624348;45.4703962567612;"(45.4703962567612, 9.11800809624348)"
64;BUS;10300;Di;Bonola M1 - Corsico;Canonico;17.67;47;9.11236233152462;45.4585996216699;"(45.4585996216699, 9.11236233152462)"
64;BUS;10303;Di;Bonola M1 - Molinetto;Barrato;11.40;31;9.1171756650647;45.4702982545203;"(45.4702982545203, 9.1171756650647)"
65;BUS;8402;Di;P.ta Romana - Abbiategrasso M2;Canonico;6.42;21;9.20017776108385;45.4417183983128;"(45.4417183983128, 9.20017776108385)"
65;BUS;9746;As;Abbiategrasso M2 - P.ta Romana M3 (trans. Via Sforza);Canonico;10.96;37;9.19998996381979;45.4477204319987;"(45.4477204319987, 9.19998996381979)"
65;BUS;9747;As;Abbiategrasso M2 - P.ta Romana M3;Barrato;7.03;23;9.20024572442444;45.4421603673009;"(45.4421603673009, 9.20024572442444)"
66;BUS;4039;As;Cadore - Linate;Barrato;7.66;25;9.24301862212152;45.450794079368;"(45.450794079368, 9.24301862212152)"
66;BUS;6764;As;Cadore - Peschiera B.;Canonico;12.61;33;9.26195327167066;45.4423647795915;"(45.4423647795915, 9.26195327167066)"
66;BUS;8656;Di;Peschiera B. - Cadore;Canonico;12.74;33;9.26184790061562;45.4425640267234;"(45.4425640267234, 9.26184790061562)"
66;BUS;8658;Di;Linate - Cadore;Barrato;7.70;24;9.24287654986214;45.451058053575;"(45.451058053575, 9.24287654986214)"
67;BUS;4540;As;Scanini - Baracca;Canonico;9.11;34;9.12288201466853;45.4631832696007;"(45.4631832696007, 9.12288201466853)"
67;BUS;583;Di;Baracca - Scanini;Canonico;8.62;30;9.12221867464093;45.4632542044986;"(45.4632542044986, 9.12221867464093)"
68;BUS;3001;Di;Bergognone - Bonola M1;Canonico;10.26;32;9.14206057697888;45.4795951631556;"(45.4795951631556, 9.14206057697888)"
68;BUS;7565;As;Bonola M1 - Bergognone;Canonico;10.02;34;9.14103206019889;45.4802338853617;"(45.4802338853617, 9.14103206019889)"
69;BUS;3732;As;M.Dorino (ramo S.Leonardo) - Firenze;Barrato;6.94;21;9.12424068842931;45.4968343588968;"(45.4968343588968, 9.12424068842931)"
69;BUS;3734;As;M.Dorino (ramo Gallaratese) - Firenze;Canonico;8.19;23;9.12113166796848;45.4951606711325;"(45.4951606711325, 9.12113166796848)"
69;BUS;4404;Di;Firenze - Molino Dorino (Ramo S.Leonardo);Barrato;6.74;22;9.12557746689493;45.4966651339777;"(45.4966651339777, 9.12557746689493)"
69;BUS;4405;Di;Firenze - Molino Dorino (Ramo Gallaratese);Canonico;8.14;24;9.12190023628336;45.4950652592697;"(45.4950652592697, 9.12190023628336)"
7;TRAM;6791;As;Precotto - Lagosta;Canonico;6.48;20;9.21038293226851;45.5092170057794;"(45.5092170057794, 9.21038293226851)"
7;TRAM;7210;Di;Lagosta - Precotto;Canonico;6.77;18;9.21245212508817;45.5098357138809;"(45.5098357138809, 9.21245212508817)"
7;TRAM;8222;As;Precotto - Testi/S. Marcellina;Barrato;3.84;12;9.21845394094341;45.5147436102558;"(45.5147436102558, 9.21845394094341)"
7;TRAM;8223;Di;Testi/ S. Marcellina - Precotto;Barrato;4.13;10;9.22065803392769;45.5149267452946;"(45.5149267452946, 9.22065803392769)"
70;BUS;10095;As;Cim. Bruzzano - Ceresio;Canonico;6.75;25;9.1780512369463;45.5098342656888;"(45.5098342656888, 9.1780512369463)"
70;BUS;10096;As;Q.re Bruzzano - Ceresio;Barrato;5.68;22;9.17835488570289;45.5058970045365;"(45.5058970045365, 9.17835488570289)"
