_id;anno_rilevamento_reato;Reati_denunciati_tipologia;reati_denunciati
732;2007;Omicidi di tipo mafioso;0
733;2007;Omicidi a scopo terroristico;0
734;2007;Tentati omicidi ;48
735;2007;Infanticidi;0
736;2007;Omicidi preterintenzionali ;0
737;2007;Omicidi colposi totale;76
738;2007;Omicidi colposi  da incidente stradale;70
739;2007;Percosse ;617
740;2007;Lesioni dolose ;2336
741;2007;Minacce ;2406
742;2007;Sequestri di persona ;84
743;2007;Ingiurie ;1420
744;2007;Violenze sessuali ;291
745;2007;Atti sessuali con minorenne ;28
746;2007;Corruzione di minorenne ;9
747;2007;Sfruttamento e favoreggiamento della prostituzione;65
748;2007;Pornografia minorile e detenzione di materiale pedopornografico;22
749;2007;Furti;109949
750;2007;furti con strappo;1471
751;2007;Furti  con destrezza;24715
752;2007;Furti  in abitazioni;5459
753;2007;Furti  in esercizi commerciali;6750
754;2007;Furti  in auto in sosta;19368
755;2007;Furti  di opere d'arte e materiale archeologico;27
756;2007;Furti di automezzi pesanti trasportanti merci;65
757;2007;Furti di ciclomotori;2946
758;2007;Furti di motocicli;4380
759;2007;Furti di autovetture;12913
760;2007;Rapine totale;3700
761;2007;Rapine in abitazione;135
762;2007;Rapine in banca;257
763;2007;Rapine in uffici postali;12
764;2007;Rapine in esercizi commerciali;463
765;2007;Rapine in pubblica via;2121
766;2007;Estorsioni ;186
767;2007;Truffe e frodi informatiche ;4466
768;2007;Delitti informatici;146
769;2007;Contraffazione di marchi e prodotti industriali;29
770;2007;Violazione della proprieta' intellettuale;111
771;2007;Ricettazione ;1655
772;2007;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;37
773;2007;Usura ;10
774;2007;Danneggiamenti ;23805
775;2007;Incendi totale;220
776;2007;Incendi boschivi;0
777;2007;Danneggiamento seguito da incendio ;128
778;2007;Normativa sugli stupefacenti ;1820
779;2007;Attentati ;18
780;2007;Associazione per delinquere ;27
781;2007;Associazione di tipo mafioso ;2
782;2007;Contrabbando;30
783;2007;Altri delitti;20277
784;2007;Reati totale;174040
785;2006;Strage ;0
786;2006;Omicidi volontari totale;22
787;2006;Omicidi a scopo di furto o rapina;2
788;2006;Omicidi di tipo mafioso;0
789;2006;Omicidi a scopo terroristico;0
790;2006;Tentati omicidi ;47
791;2006;Infanticidi;0
792;2006;Omicidi preterintenzionali ;1
793;2006;Omicidi colposi totale;63
794;2006;Omicidi colposi  da incidente stradale;54
795;2006;Percosse ;544
796;2006;Lesioni dolose ;2191
797;2006;Minacce ;2050
798;2006;Sequestri di persona ;59
799;2006;Ingiurie ;1162
800;2006;Violenze sessuali ;294
801;2006;Atti sessuali con minorenne ;13
802;2006;Corruzione di minorenne ;6
803;2006;Sfruttamento e favoreggiamento della prostituzione;59
804;2006;Pornografia minorile e detenzione di materiale pedopornografico;20
805;2006;Furti;106922
806;2006;furti con strappo;1234
807;2006;Furti  con destrezza;22970
808;2006;Furti  in abitazioni;4389
809;2006;Furti  in esercizi commerciali;6644
810;2006;Furti  in auto in sosta;17470
811;2006;Furti  di opere d'arte e materiale archeologico;33
812;2006;Furti di automezzi pesanti trasportanti merci;61
813;2006;Furti di ciclomotori;3106
814;2006;Furti di motocicli;4128
815;2006;Furti di autovetture;14709
816;2006;Rapine totale;3561
817;2006;Rapine in abitazione;116
818;2006;Rapine in banca;140
819;2006;Rapine in uffici postali;26
820;2006;Rapine in esercizi commerciali;535
821;2006;Rapine in pubblica via;1982
822;2006;Estorsioni ;169
823;2006;Truffe e frodi informatiche ;3926
824;2006;Delitti informatici;123
825;2006;Contraffazione di marchi e prodotti industriali;30
826;2006;Violazione della proprieta' intellettuale;100
827;2006;Ricettazione ;1326
828;2006;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;48
829;2006;Usura ;7
830;2006;Danneggiamenti ;21168
831;2006;Incendi totale;277
832;2006;Incendi boschivi;0
833;2006;Danneggiamento seguito da incendio ;157
834;2006;Normativa sugli stupefacenti ;1447
835;2006;Attentati ;39
836;2006;Associazione per delinquere ;27
837;2006;Associazione di tipo mafioso ;1
838;2006;Contrabbando;23
839;2006;Altri delitti;17935
840;2006;Reati totale;163817
841;2005;Strage ;4
842;2005;Omicidi volontari totale;14
843;2005;Omicidi a scopo di furto o rapina;1
844;2005;Omicidi di tipo mafioso;0
845;2005;Omicidi a scopo terroristico;0
846;2005;Tentati omicidi ;39
847;2005;Infanticidi;1
848;2005;Omicidi preterintenzionali ;2
849;2005;Omicidi colposi totale;73
850;2005;Omicidi colposi  da incidente stradale;63
851;2005;Percosse ;582
852;2005;Lesioni dolose ;2252
853;2005;Minacce ;2056
854;2005;Sequestri di persona ;74
855;2005;Ingiurie ;1139
856;2005;Violenze sessuali ;253
857;2005;Atti sessuali con minorenne ;11
858;2005;Corruzione di minorenne ;5
859;2005;Sfruttamento e favoreggiamento della prostituzione;80
860;2005;Pornografia minorile e detenzione di materiale pedopornografico;19
861;2005;Furti;100888
862;2005;furti con strappo;
863;2005;Furti  con destrezza;
864;2005;Furti  in abitazioni;
865;2005;Furti  in esercizi commerciali;
866;2005;Furti  in auto in sosta;
867;2005;Furti  di opere d'arte e materiale archeologico;
868;2005;Furti di automezzi pesanti trasportanti merci;
869;2005;Furti di ciclomotori;
870;2005;Furti di motocicli;
871;2005;Furti di autovetture;
872;2005;Rapine totale;2914
873;2005;Rapine in abitazione;
874;2005;Rapine in banca;
875;2005;Rapine in uffici postali;
876;2005;Rapine in esercizi commerciali;
877;2005;Rapine in pubblica via;
878;2005;Estorsioni ;163
879;2005;Truffe e frodi informatiche ;3466
880;2005;Delitti informatici;89
881;2005;Contraffazione di marchi e prodotti industriali;48
882;2005;Violazione della proprieta' intellettuale;173
883;2005;Ricettazione ;1296
884;2005;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;23
885;2005;Usura ;9
886;2005;Danneggiamenti ;19028
887;2005;Incendi totale;223
888;2005;Incendi boschivi;0
889;2005;Danneggiamento seguito da incendio ;93
890;2005;Normativa sugli stupefacenti ;1482
891;2005;Attentati ;23
892;2005;Associazione per delinquere ;29
893;2005;Associazione di tipo mafioso ;1
894;2005;Contrabbando;28
895;2005;Altri delitti;16737
896;2005;Reati totale;153317
897;2004;Strage ;0
898;2004;Omicidi volontari totale;22
899;2004;Omicidi a scopo di furto o rapina;0
900;2004;Omicidi di tipo mafioso;0
901;2004;Omicidi a scopo terroristico;0
902;2004;Tentati omicidi ;45
903;2004;Infanticidi;0
904;2004;Omicidi preterintenzionali ;0
905;2004;Omicidi colposi totale;63
906;2004;Omicidi colposi  da incidente stradale;54
907;2004;Percosse ;404
908;2004;Lesioni dolose ;1994
909;2004;Minacce ;1717
910;2004;Sequestri di persona ;61
911;2004;Ingiurie ;967
912;2004;Violenze sessuali ;224
913;2004;Atti sessuali con minorenne ;15
914;2004;Corruzione di minorenne ;5
915;2004;Sfruttamento e favoreggiamento della prostituzione;76
916;2004;Pornografia minorile e detenzione di materiale pedopornografico;15
917;2004;Furti;96128
918;2004;furti con strappo;
919;2004;Furti  con destrezza;
920;2004;Furti  in abitazioni;
921;2004;Furti  in esercizi commerciali;
922;2004;Furti  in auto in sosta;
923;2004;Furti  di opere d'arte e materiale archeologico;
924;2004;Furti di automezzi pesanti trasportanti merci;
925;2004;Furti di ciclomotori;
926;2004;Furti di motocicli;
927;2004;Furti di autovetture;
928;2004;Rapine totale;2876
929;2004;Rapine in abitazione;
930;2004;Rapine in banca;
931;2004;Rapine in uffici postali;
932;2004;Rapine in esercizi commerciali;
933;2004;Rapine in pubblica via;
934;2004;Estorsioni ;165
935;2004;Truffe e frodi informatiche ;3163
936;2004;Delitti informatici;66
937;2004;Contraffazione di marchi e prodotti industriali;47
938;2004;Violazione della proprieta' intellettuale;197
939;2004;Ricettazione ;1549
940;2004;Riciclaggio e impiego di denaro, beni o utilita' di provenienza illecita;51
941;2004;Usura ;8
942;2004;Danneggiamenti ;17150
943;2004;Incendi totale;217
944;2004;Incendi boschivi;1
945;2004;Danneggiamento seguito da incendio ;117
946;2004;Normativa sugli stupefacenti ;1507
947;2004;Attentati ;12
948;2004;Associazione per delinquere ;117
949;2004;Associazione di tipo mafioso ;0
950;2004;Contrabbando;4
951;2004;Altri delitti;12654
952;2004;Reati totale;141636
