id_percorso;num;id_fermata
100034;12;918
100066;13;953
100073;28;913
100052;18;897
100067;14;956
100074;13;973
100034;4;893
100047;1;999
100053;3;958
100030;3;934
100081;19;922
100035;21;987
100048;15;926
100047;9;931
100074;31;995
100043;7;941
100038;1;903
100047;16;946
100050;1;995
100002;7;891
100034;25;945
100074;8;974
100095;22;984
100034;11;943
100034;27;989
100013;21;928
100033;17;981
100089;12;948
100073;11;978
100013;6;917
100050;6;911
100050;5;919
100002;17;943
100059;4;897
100074;27;919
100073;3;952
100030;17;960
100066;22;958
100060;4;897
100095;5;895
100033;7;898
100035;18;985
100070;2;994
100050;9;944
100043;21;917
100030;27;921
100048;26;986
100070;1;958
100052;17;946
100050;13;975
100077;19;956
100082;1;908
100043;6;928
100050;15;940
100077;9;978
100095;4;977
100082;19;998
100033;6;951
100048;18;973
100053;29;952
100035;8;912
100052;16;926
100053;22;892
100089;6;889
100038;2;902
100030;2;927
100074;7;895
100074;12;965
100077;8;892
100077;13;946
100033;10;941
100053;24;974
100002;22;951
100052;3;958
100048;11;953
100081;18;966
100034;8;912
100013;3;989
100077;2;894
100023;19;951
100077;27;958
100030;25;898
100066;20;919
100081;12;959
100066;23;999
100073;10;892
100048;3;913
100074;26;911
100059;19;958
100066;19;911
100053;7;910
100013;5;945
100034;18;985
100073;23;944
100042;2;921
100002;19;928
100053;18;897
100048;17;897
100060;19;958
100067;15;931
100002;8;930
100035;11;943
100035;27;989
100084;12;955
100030;24;912
100073;18;982
100074;4;894
100030;6;896
100066;8;946
100095;24;911
100060;17;919
100081;15;924
100052;4;913
100013;14;967
100043;20;939
100053;31;954
100066;17;984
100002;14;909
100042;23;949
100053;19;973
100067;3;970
100074;14;897
100077;24;911
100084;13;961
100023;16;928
100067;4;978
100030;9;939
100034;28;901
100050;14;982
100059;17;919
100084;5;947
100084;8;948
100048;27;894
100048;2;958
100073;1;954
100053;25;895
100053;23;979
100045;6;910
100045;13;982
100030;21;943
100050;11;956
100095;2;894
100095;27;958
100030;7;945
100067;24;995
100082;16;890
100047;20;978
100067;16;944
100081;1;969
100059;8;982
100067;1;971
100089;16;983
100023;3;996
100033;13;929
100095;8;892
100095;13;946
100042;8;943
100052;20;965
100060;8;982
100074;25;910
100013;16;909
100043;26;934
100067;5;965
100074;9;979
100084;15;923
100042;10;929
100045;20;978
100047;6;910
100047;13;982
100059;20;999
100033;12;918
100042;17;930
100074;24;984
100081;9;916
100023;1;917
100082;9;935
100035;31;915
100048;21;892
100033;1;904
100067;12;975
100082;11;933
100002;24;893
100002;9;968
100052;8;984
100053;12;953
100095;19;956
100077;4;977
100082;14;975
100095;9;978
100060;16;911
100035;28;901
100042;14;981
100066;9;926
100089;8;955
100030;29;903
100043;18;987
100084;19;906
100080;2;980
100042;16;968
100048;4;919
100077;5;895
100023;9;967
100033;4;893
100052;2;994
100081;10;899
100059;16;911
100042;3;951
100073;15;946
100073;20;953
100034;26;896
100047;4;919
100073;16;926
100082;6;942
100043;3;951
100030;5;989
100043;14;981
100002;4;993
100045;2;958
100050;17;946
100023;12;929
100048;6;910
100074;30;994
100077;7;979
100033;14;909
100052;5;919
100067;20;919
100043;17;930
100013;23;898
100084;6;936
100035;5;921
100074;29;958
100043;22;945
100074;28;913
100089;10;932
100081;13;935
100060;11;956
100043;28;915
100030;15;981
100030;4;901
100023;8;981
100073;13;973
100053;1;995
100033;9;928
100067;22;958
100077;17;975
100059;5;946
100050;20;965
100013;27;903
100052;11;956
100084;1;991
100073;5;986
100053;21;978
100030;23;928
100052;22;970
100052;23;972
100045;18;973
100080;1;952
100053;26;977
100048;22;979
100050;4;913
100034;3;903
100050;2;994
100073;6;977
100066;16;944
100077;23;910
100084;17;905
100045;11;953
100002;1;990
100035;30;927
100077;10;965
100059;14;984
100066;1;971
100042;6;928
100043;23;896
100033;2;902
100045;3;913
100067;17;984
100066;3;970
100059;7;940
100095;28;994
100034;24;917
100038;3;904
100045;17;897
100059;6;926
100043;27;927
100013;9;987
100042;21;993
100047;15;926
100073;14;897
100013;18;918
100042;7;941
100077;3;986
100030;22;941
100048;1;999
100053;14;982
100059;10;953
100082;20;997
100089;3;905
100066;10;940
100095;14;926
100052;10;931
100035;15;960
100048;9;931
100013;29;904
100030;28;893
100089;2;907
100058;1;980
100059;13;944
100082;8;964
100002;25;903
100033;21;891
100059;9;975
100034;14;909
100042;24;990
100060;2;965
100047;8;944
100050;12;953
100095;15;940
100002;18;941
100077;12;897
100047;14;940
100002;27;904
100077;6;974
100034;9;928
100002;2;949
100047;7;984
100047;23;971
100035;16;967
