id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
889;TRE TORRI;5;9.15667532734003;45.4781401846813;"(45.4781401846813, 9.15667532734003)"
890;ZARA;"3,5";9.1926011078845;45.4926644010357;"(45.4926644010357, 9.1926011078845)"
891;WAGNER;1;9.15591440789603;45.4679501010405;"(45.4679501010405, 9.15591440789603)"
892;VIMODRONE;2;9.28598910784986;45.5157833010269;"(45.5157833010269, 9.28598910784986)"
893;VILLA S.G.;1;9.22613020787426;45.517454501031;"(45.517454501031, 9.22613020787426)"
894;VILLA POMPEA;2;9.38497435183031;45.5278485186712;"(45.5278485186712, 9.38497435183031)"
895;VILLA FIORITA;2;9.34597136677819;45.5207397997402;"(45.5207397997402, 9.34597136677819)"
896;URUGUAY;1;9.12054590791374;45.4937169010408;"(45.4937169010408, 9.12054590791374)"
897;UDINE;2;9.23699640786637;45.4912044010326;"(45.4912044010326, 9.23699640786637)"
898;TURRO;1;9.22100470787406;45.5004455010329;"(45.5004455010329, 9.22100470787406)"
899;TURATI;3;9.19470670788131;45.4750407010371;"(45.4750407010371, 9.19470670788131)"
900;SONDRIO;3;9.20055840788093;45.4899902010353;"(45.4899902010353, 9.20055840788093)"
901;S.LEONARDO;1;9.10148120792243;45.5011555010415;"(45.5011555010415, 9.10148120792243)"
902;SESTO RONDO;1;9.23124580787442;45.5341593010292;"(45.5341593010292, 9.23124580787442)"
903;SESTO MARELLI;1;9.22796150787432;45.5234771010303;"(45.5234771010303, 9.22796150787432)"
904;SESTO 1 MAGGIO FS;1;9.23833340787256;45.541691201028;"(45.541691201028, 9.23833340787256)"
905;SEGESTA;5;9.13789399368299;45.4763587387523;"(45.4763587387523, 9.13789399368299)"
906;SAN SIRO STADIO;5;9.11831543256739;45.4762588946241;"(45.4762588946241, 9.11831543256739)"
907;SAN SIRO IPPODROMO;5;9.12901244641326;45.4762089724921;"(45.4762089724921, 9.12901244641326)"
908;SAN DONATO;3;9.25623390785037;45.4292064010367;"(45.4292064010367, 9.25623390785037)"
909;SAN BABILA;1;9.19752860787903;45.4665214010376;"(45.4665214010376, 9.19752860787903)"
910;S.AMBROGIO;2;9.17316800788822;45.4616239010398;"(45.4616239010398, 9.17316800788822)"
911;S.AGOSTINO;2;9.16981440788917;45.4586201010403;"(45.4586201010403, 9.16981440788917)"
912;ROVERETO;1;9.21950580787402;45.4955331010335;"(45.4955331010335, 9.21950580787402)"
913;ROMOLO;2;9.16767680788806;45.4437333010418;"(45.4437333010418, 9.16767680788806)"
914;ROGOREDO FS;3;9.23808910785828;45.4335862010376;"(45.4335862010376, 9.23808910785828)"
915;RHO FIERAMILANO;1;9.08710730793073;45.5198398010409;"(45.5198398010409, 9.08710730793073)"
916;REPUBBLICA;3;9.1988564078803;45.4800896010363;"(45.4800896010363, 9.1988564078803)"
917;QT8;1;9.13718230790599;45.4859581010403;"(45.4859581010403, 9.13718230790599)"
918;P.TA VENEZIA;1;9.20504640787705;45.4744187010364;"(45.4744187010364, 9.20504640787705)"
919;P.TA GENOVA F.S.;2;9.16960610788843;45.4523782010409;"(45.4523782010409, 9.16960610788843)"
920;PRIMATICCIO;1;9.12925970790566;45.4594136010432;"(45.4594136010432, 9.12925970790566)"
921;PRECOTTO;1;9.22449910787419;45.5120295010316;"(45.5120295010316, 9.22449910787419)"
922;PORTO DI MARE;3;9.23031110786189;45.4371279010379;"(45.4371279010379, 9.23031110786189)"
923;PORTELLO;5;9.15149944089913;45.4807995479328;"(45.4807995479328, 9.15149944089913)"
924;PORTA ROMANA;3;9.20340020787466;45.4514341010386;"(45.4514341010386, 9.20340020787466)"
925;PONALE;5;9.20947360788159;45.5219945010318;"(45.5219945010318, 9.20947360788159)"
926;PIOLA;2;9.22591680786951;45.4811450010343;"(45.4811450010343, 9.22591680786951)"
927;PERO;1;9.08580670792978;45.508799701042;"(45.508799701042, 9.08580670792978)"
928;PASTEUR;1;9.21818010787396;45.491069201034;"(45.491069201034, 9.21818010787396)"
929;PALESTRO;1;9.20194900787789;45.4714250010369;"(45.4714250010369, 9.20194900787789)"
930;PAGANO;1;9.16109520789398;45.4682808010401;"(45.4682808010401, 9.16109520789398)"
931;MOSCOVA;2;9.18447570788576;45.4774395010376;"(45.4774395010376, 9.18447570788576)"
932;MONUMENTALE;5;9.17979312440483;45.484814776347;"(45.484814776347, 9.17979312440483)"
