_id;Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
8225;PE/28860;PIAZZA SCOLARI ROSA N. 5 (z.d. 8);SOMMINISTRAZIONE - In piano;PIAZZA SCOLARI ROSA;5;6579;d - Pizzerie e simili;;110;20151;64;TRENNO;8;9,10051E+11;45490415423;45.490415423 / 9.10051419183
8226;PE/28865;VIALE MARCHE N. 40 (z.d. 9);SOMMINISTRAZIONE - In piano;VIALE MARCHE;40;1360;;;33;20159;12;MACIACHINI - MAGGIOLINA;9;9,1936E+11;4,5496E+11;45.4960102006 / 9.19359934921
8227;PE/28866;VIA MARGHERA N. 29 (z.d. 7);SOMMINISTRAZIONE - In piano;VIA MARGHERA;29;6280;b - Ristorante, trattoria, osteria con cucina tipica;;39;20149;51;WASHINGTON;7;9,15271E+11;4,54669E+11;45.4669276893 / 9.15271218114
8228;PE/28867;GALLERIA DE CRISTOFORIS N. 3 (z.d. 3);SOMMINISTRAZIONE - In piano;GALLERIA DE CRISTOFORIS;3;100;a - Ristorante, trattoria, osteria con cucina e simili;;75;20121;1;DUOMO;1;91946145518;4,54657E+11;45.4657189454 / 9.1946145518
8229;PE/28871;VIA CAMINADELLA N. 2 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA CAMINADELLA;2;551;c - Tavole calde,self service, fast food e simili;;36;20123;1;DUOMO;1;9,17806E+11;4,54593E+11;45.4593124404 / 9.17806466173
8230;PE/28880;VIA SASSETTI FILIPPO N. 32 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA SASSETTI FILIPPO;32;1157;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;137;20124;11;ISOLA;9;9,19414E+11;4,54876E+11;45.4876472873 / 9.19413622758
8231;PE/28878;VIA CAMPERIO MANFREDO N. 15 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA CAMPERIO MANFREDO;15;610;a - Ristorante, trattoria, osteria con cucina e simili|c - Tavole calde,self service, fast food e simili;;38;20121;1;DUOMO;1;9,18264E+11;4,54674E+11;45.4673892413 / 9.18264392669
8232;PE/28882;VIA CASTALDI PANFILO N. 17 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA CASTALDI PANFILO;17;2119;d - Pizzerie e simili|f - Bar caffè e simili;;53;20124;21;BUENOS AIRES - VENEZIA;3;9,20183E+11;4,54773E+11;45.4773292395 / 9.20182851819
8233;PE/28884;VIA BRAMANTE N. 40 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA BRAMANTE;40;7123;a - Ristorante, trattoria, osteria con cucina e simili;;40;20154;69;SARPI;8;9,17855E+11;4,54827E+11;45.4827291989 / 9.17855057962
8234;PE/28304;;SOMMINISTRAZIONE - In piano;;;;;;;;;;;;;
8235;PE/28305;VIA CIAIA IGNAZIO N. 3 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA CIAIA IGNAZIO;3;1294;d - Pizzerie e simili;;34;20158;79;DERGANO;9;9,1758E+11;45502157476;45.502157476 / 9.17579767905
8236;PE/28308;VIA CIALDINI ENRICO N. 89 (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CIALDINI ENRICO;89;1477;a - Ristorante, trattoria, osteria con cucina e simili;;83;20161;80;AFFORI;9;9,16992E+11;4,55134E+11;45.5133783829 / 9.16991759507
8237;PE/28309;VIA VARANINI LUIGI N. 5 (z.d. 2);SOMMINISTRAZIONE - In piano;VIA VARANINI LUIGI;5;2288;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;61;20127;20;LORETO;2;9,21799E+11;4,5493E+11;45.4930205024 / 9.21798962567
8238;PE/28313;VIA TRAIANO MARCO ULPIO N. 56;SOMMINISTRAZIONE - In piano;VIA TRAIANO MARCO ULPIO;56;658;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;27;;;;;;;
8239;PE/28315;VIA AMADEO GIAN ANTONIO N. 28;SOMMINISTRAZIONE - In piano;VIA AMADEO GIAN ANTONIO;28;3228;e - Bar gastronomici e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;32;20133;22;CITTA' STUDI;3;9,2334E+11;4,54708E+11;45.4708125877 / 9.23340235048
8240;PE/28316;VIA CORSICO N. 1 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA CORSICO;1;5157;e - Bar gastronomici e simili;;51;20144;44;NAVIGLI;6;9,1733E+11;4,54527E+11;45.4527008626 / 9.17330158391
