_id;Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;denominazione_pe;insegna;superficie_somministrazione;CAP;ID_NIL;NIL;MUNICIPIO;LONG_WGS84;LAT_WGS84;Location
1;PE/26062;PIAZZA BANDIERA (F.LLI) N. 13 (z.d. 3);SOMMINISTRAZIONE - In piano;PIAZZA BANDIERA (F.LLI);13;3182;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;57;20129;21;BUENOS AIRES - VENEZIA;3;9,21138E+11;4,54709E+11;45.4708538472 / 9.21138357925
2;PE/24514;VIA MUSSI GIUSEPPE N. 13 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA MUSSI GIUSEPPE;13;7199;e - Bar gastronomici e simili;;15;20154;69;SARPI;8;9,16648E+13;4,54829E+14;45.4829332001083 / 9.1664781839054
3;PE/24515;Viale MOLISE N. 54 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale MOLISE;54;3178;a - Ristorante, trattoria, osteria con cucina e simili;;99;20137;29;ORTOMERCATO;4;9,22436E+11;4,54542E+11;45.4542383748 / 9.22436003768
4;PE/26065;VIA PALIZZI FILIPPO N. 119 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA PALIZZI FILIPPO;119;7451;e - Bar gastronomici e simili|f - Bar caffè e simili;;59;20157;76;QUARTO OGGIARO;8;9,13367E+11;4,55084E+11;45.5084422216 / 9.13367290882
5;C-PE/61;Viale MONZA N. 256| isolato:040| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;256;2274;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;139;20128;16;VLE MONZA;2;9,22577E+11;4,55156E+11;45.5156104946 / 9.22577045811
6;PE/24736;Via MUSATTI CESARE N. 8 (z.d. 1);SOMMINISTRAZIONE - In piano;Via MUSATTI CESARE;8;7603;a - Ristorante, trattoria, osteria con cucina e simili;;421;20157;75;STEPHENSON;8;9,12371E+11;4,55113E+11;45.5112784827 / 9.12371061027
7;PE/26071;Largo CROCETTA (DELLA) N. 2 (z.d. 1);SOMMINISTRAZIONE - In piano;Largo CROCETTA (DELLA);2;654;e - Bar gastronomici e simili;;60;20122;5;VIGENTINA;1;9,19543E+11;4,54559E+11;45.4558966703 / 9.19542534875
8;PE/24504;Via BRONZINO N. 1 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BRONZINO;1;2191;e - Bar gastronomici e simili;;57;20129;21;BUENOS AIRES - VENEZIA;3;9,21937E+11;45474653828;45.474653828 / 9.21937241361
9;PE/24505;VIA POLIZIANO N. 12 (z.d. 8);SOMMINISTRAZIONE - In piano;VIA POLIZIANO;12;7196;;;59;20154;69;SARPI;8;9,16566E+14;4,54836E+14;45.4835815429208 / 9.16566195038373
10;PE/26561;VIA PASSARELLA N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA PASSARELLA;4;298;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;65;20122;1;DUOMO;1;9,19452E+11;4,54648E+11;45.4648127621 / 9.19452001501
11;PE/24474;Via LOMBARDINI ELIA N. 1 (z.d. 6);SOMMINISTRAZIONE - In piano;Via LOMBARDINI ELIA;1;5146;;;59;20143;44;NAVIGLI;6;9,16418E+11;4,54492E+11;45.4491590722 / 9.16417552724
12;PE/24617;Viale MONZA N. 22 (z.d. 2);SOMMINISTRAZIONE - In piano;Viale MONZA;22;2274;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;70;20127;20;LORETO;2;9,21787E+11;4,54894E+11;45.4894016668 / 9.21786669163
13;PE/27374;VIA CASATI FELICE N. 8 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA CASATI FELICE;8;2122;a - Ristorante, trattoria, osteria con cucina e simili;;179;20124;21;BUENOS AIRES - VENEZIA;3;9,20587E+11;4,54778E+11;45.4777729208 / 9.20587163608
14;PE/25745;Via MUZIO SCEVOLA N. 4 (z.d. 3);SOMMINISTRAZIONE - In piano;Via MUZIO SCEVOLA;4;2663;e - Bar gastronomici e simili;;17;20134;23;LAMBRATE;3;9,24101E+11;4,54832E+11;45.4831749645 / 9.24100621771
15;PE/27326;Via GREGORIO (SAN) N. 40 (z.d. 2);SOMMINISTRAZIONE - In piano;Via GREGORIO (SAN);40;2123;e - Bar gastronomici e simili|f - Bar caffè e simili;;38;20124;10;CENTRALE;2;9,20193E+14;4,54809E+14;45.4809182884537 / 9.20192654494154
16;PE/27333;Via BRAMANTE N. 20 (z.d. 1);SOMMINISTRAZIONE - In piano;Via BRAMANTE;20;7123;;;72;20154;69;SARPI;1;9,17944E+11;4,54808E+11;45.4808494924 / 9.17944057276
17;PE/24535;Via GIAMBELLINO N. 150 (z.d. 6);SOMMINISTRAZIONE - In piano;Via GIAMBELLINO;150;5136;e - Bar gastronomici e simili;;29;20147;49;GIAMBELLINO;6;9,13057E+11;4,5445E+11;45.4449765324 / 9.13057142551
18;PE/24545;PIAZZA CITTA' DI LOMBARDIA 1;SOMMINISTRAZIONE - In piano;PIAZZA CITTA' DI LOMBARDIA;;780;e - Bar gastronomici e simili;;85;;;;;;;
19;PE/24546;Via PIERLUIGI GIOVANNI DA PALESTRINA N. 32 (z.d. 2);SOMMINISTRAZIONE - In piano;Via PIERLUIGI GIOVANNI DA PALESTRINA;32;2235;e - Bar gastronomici e simili;;28;20124;10;CENTRALE;2;9,2098E+14;4,54874E+14;45.4873845683719 / 9.20979614615655
20;PE/24547;VIA RIPAMONTI GIUSEPPE N. 190 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA RIPAMONTI GIUSEPPE;190;4066;c - Tavole calde,self service, fast food e simili;;41;20141;38;RIPAMONTI;5;9,20103E+11;4,5433E+11;45.4329812948 / 9.20103023676
21;PE/24601;Via SIRTORI GIUSEPPE N. 34 (z.d. 3);SOMMINISTRAZIONE - In piano;Via SIRTORI GIUSEPPE;34;2180;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;173;20129;21;BUENOS AIRES - VENEZIA;3;9,20682E+11;45474971589;45.474971589 / 9.20682382383
22;PE/25598;Piazza AMBROSOLI GIORGIO N. 3 (z.d. 7);SOMMINISTRAZIONE - In piano;Piazza AMBROSOLI GIORGIO;3;6317;d - Pizzerie e simili;;21;20144;51;WASHINGTON;7;9,16113E+11;45464223081;45.464223081 / 9.16112720152
23;PE/24602;VIA BONFADINI ROMUALDO N. 101 (z.d. 4);SOMMINISTRAZIONE - In piano;VIA BONFADINI ROMUALDO;101;3341;e - Bar gastronomici e simili;;55;20138;30;MECENATE;4;92464531691;4,54448E+11;45.4448192933 / 9.2464531691
24;PE/25633;VIA SANSOVINO N. 30 (z.d. 3);SOMMINISTRAZIONE - In piano;VIA SANSOVINO;30;2213;a - Ristorante, trattoria, osteria con cucina e simili|c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili|i - Disco bar, america bar, locali serali e simili;;254;20133;21;BUENOS AIRES - VENEZIA;3;9,22087E+11;45479103101;45.479103101 / 9.22086980099
25;PE/25634;Ripa PORTA TICINESE (DI) N. 9 (z.d. 6);SOMMINISTRAZIONE - In piano;Ripa PORTA TICINESE (DI);9;5150;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;9;20143;44;NAVIGLI;6;9,17666E+11;4,5452E+11;45.4519837238 / 9.17665711287
26;PE/25635;VIA ALBRICCI ALBERICO N. 3 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA ALBRICCI ALBERICO;3;658;a - Ristorante, trattoria, osteria con cucina e simili;;202;20123;1;DUOMO;1;9,17755E+11;4,5465E+11;45.4650073038 / 9.17754762318
27;PE/25984;VIA MONTEBELLO N. 7 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA MONTEBELLO;7;1037;f - Bar caffè e simili;;67;20121;2;BRERA;1;9,18915E+11;4,54753E+11;45.4753029843 / 9.18915090291
28;PE/24883;Via NEGROLI N. 23 (z.d. 4);SOMMINISTRAZIONE - In piano;Via NEGROLI;23;3279;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili|f - Bar caffè e simili;;125;20133;25;CORSICA;4;9,23232E+11;4,54649E+11;45.4649096988 / 9.23232457441
29;PE/24884;Viale SUZZANI GIOVANNI N. 155 (z.d. 9);SOMMINISTRAZIONE - In piano;Viale SUZZANI GIOVANNI;155;1446;;;20;20162;14;NIGUARDA - CA' GRANDA;9;9,20308E+11;4,55162E+11;45.5162445427 / 9.20307759016
30;PE/24885;Via GALLARATE N. 107 (z.d. 8);SOMMINISTRAZIONE - In piano;Via GALLARATE;107;7420;e - Bar gastronomici e simili;;25;20151;71;VILLAPIZZONE;8;9,13325E+11;4,54964E+11;45.4963893067 / 9.13325388585
31;PE/26186;Via CARDANO GEROLAMO N. 8 (z.d. 9);SOMMINISTRAZIONE - In piano;Via CARDANO GEROLAMO;8;1187;a - Ristorante, trattoria, osteria con cucina e simili;;342;20124;9;GARIBALDI REPUBBLICA;9;9,19762E+11;4,54855E+11;45.4855466145 / 9.19761998236
32;C-PE/18297;Via CHIESE N. 60 con ingresso in v.le sarca - 1° piano (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627;;;165;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
33;PE/25734;Ripa PORTA TICINESE (DI) N. 5 (z.d. 6);SOMMINISTRAZIONE - In piano;Ripa PORTA TICINESE (DI);5;5150;e - Bar gastronomici e simili;;81;20143;44;NAVIGLI;6;9,17712E+11;4,54521E+11;45.4520663681 / 9.17712115757
34;PE/24527;VIA VIGEVANO N. 8 (z.d. 6);SOMMINISTRAZIONE - In piano;VIA VIGEVANO;8;5116;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;75;20144;44;NAVIGLI;6;9,1742E+11;4,5453E+11;45.4530265288 / 9.17420240665
35;PE/26410;Viale MONTE SANTO N. 10 (z.d. 9);SOMMINISTRAZIONE - In piano;Viale MONTE SANTO;10;1056;f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;52;20124;9;GARIBALDI REPUBBLICA;9;9,19362E+11;4,54801E+11;45.4800712346 / 9.19362109009
36;C-PE/18013;Via CHIESE N. 60 con ingresso in viale sarca| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627;;bar caffe;136;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
37;C-PE/18025;Via CHIESE N. 60 con ingresso in viale sarca| accesso: accesso interno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627;;;66;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
38;C-PE/18038;VIA CHIESE N. 60 con ingresso in viale sarca| (z.d. 9) chiese 60;SOMMINISTRAZIONE - In piano;;;;;;90;;;;;;;
39;C-PE/18039;VIA CHIESE N. 60 con ingresso da viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CHIESE;60;1627;;;193;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
40;C-PE/18040;VIA CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CHIESE;60;1627;;;31;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
41;C-PE/18042;Via CHIESE N. 60 con ingresso in viale sarca| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627;;cibiamo;14;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
42;C-PE/18044;Via CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627;;;90;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
43;C-PE/18046;VIA CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;VIA CHIESE;60;1627;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;123;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
44;PE/24528;VIALE DORIA ANDREA N. 4 (z.d. 2);SOMMINISTRAZIONE - In piano;VIALE DORIA ANDREA;4;2230;a - Ristorante, trattoria, osteria con cucina e simili;;300;20124;10;CENTRALE;2;9,20707E+11;4,54848E+11;45.4848143746 / 9.20706934752
45;PE/25731;Via WASHINGTON GIORGIO N. 11 (z.d. 7);SOMMINISTRAZIONE - In piano;Via WASHINGTON GIORGIO;11;6111;h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;56;20144;51;WASHINGTON;7;9155342577;4,54647E+11;45.4647306919 / 9.155342577
46;PE/25732;Via MARGHERA N. 34 (z.d. 7);SOMMINISTRAZIONE - In piano;Via MARGHERA;34;6280;a - Ristorante, trattoria, osteria con cucina e simili;;103;20149;58;DE ANGELI - MONTE ROSA;7;91511319511;4,54666E+11;45.4666162004 / 9.1511319511
47;C-PE/18082;Via CHIESE N. 60 con ingresso in viale sarca| (z.d. 9);SOMMINISTRAZIONE - In piano;Via CHIESE;60;1627;;;39;20126;15;BICOCCA;9;92161256999;4,5522E+11;45.5219962455 / 9.2161256999
48;PE/24721;Ripa PORTA TICINESE (DI) N. 63 (z.d. 6);SOMMINISTRAZIONE - In piano;Ripa PORTA TICINESE (DI);63;5150;f - Bar caffè e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;20;20143;44;NAVIGLI;6;9,17061E+11;4,54507E+11;45.4507122079 / 9.17061002282
49;PE/24722;Largo GELSOMINI (DEI) N. 14 (z.d. 6);SOMMINISTRAZIONE - In piano;Largo GELSOMINI (DEI);14;5394;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili|f - Bar caffè e simili;;60;20146;49;GIAMBELLINO;6;9,13658E+11;4,54494E+11;45.4494462852 / 9.13657842346
50;PE/26275;Via SOLARI ANDREA N. 23 (z.d. 6);SOMMINISTRAZIONE - In piano;Via SOLARI ANDREA;23;5111;e - Bar gastronomici e simili;;27;20144;50;TORTONA;6;9,16424E+11;4,54555E+11;45.4554897864 / 9.16424376677
51;PE/27134;Via PETRELLA ERRICO N. 19 (z.d. 3);SOMMINISTRAZIONE - In piano;Via PETRELLA ERRICO;19;2137;a - Ristorante, trattoria, osteria con cucina e simili;;47;20124;21;BUENOS AIRES - VENEZIA;3;9,20941E+11;4,54839E+11;45.4838972458 / 9.20940904971
52;PE/24208;Via IMBRIANI (DEGLI) N. 1 (z.d. 9);SOMMINISTRAZIONE - In piano;Via IMBRIANI (DEGLI);1;1266;f - Bar caffè e simili;;24;20158;77;BOVISA;9;9,17063E+11;4,5497E+11;45.4969729361 / 9.17063470022
53;PE/27250;Via BROGGI GIUSEPPE N. 13 (z.d. 3);SOMMINISTRAZIONE - In piano;Via BROGGI GIUSEPPE;13;2150;a - Ristorante, trattoria, osteria con cucina e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili;;42;20129;21;BUENOS AIRES - VENEZIA;3;9,21105E+11;4,54779E+11;45.4778576685 / 9.21104524562
54;PE/24559;Viale BRENTA N. 14 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale BRENTA;14;4151;;;0;20139;35;LODI - CORVETTO;4;9,21613E+11;4,54412E+11;45.4412365666 / 9.21613339818
55;PE/24562;Via ANDREOLI DON GIUSEPPE N. 23 (z.d. 9);SOMMINISTRAZIONE - In piano;Via ANDREOLI DON GIUSEPPE;23;1467;e - Bar gastronomici e simili;;20;20158;77;BOVISA;9;9,16185E+11;4,55035E+11;45.5034807705 / 9.16184732424
56;PE/24566;Via SCIESA AMATORE N. 6 (z.d. 4);SOMMINISTRAZIONE - In piano;Via SCIESA AMATORE;6;3072;e - Bar gastronomici e simili;;36;20135;26;XXII MARZO;4;9,20934E+11;4,54613E+11;45.4613314404 / 9.20933948905
57;PE/24568;Piazza LUIGI (SAN) N. 5 (z.d. 4);SOMMINISTRAZIONE - In piano;Piazza LUIGI (SAN);5;4145;a - Ristorante, trattoria, osteria con cucina e simili|f - Bar caffè e simili;;38;20139;35;LODI - CORVETTO;4;92139157677;4,54436E+11;45.4436206118 / 9.2139157677
58;PE/24570;Viale CAMPANIA N. 12 (z.d. 4);SOMMINISTRAZIONE - In piano;Viale CAMPANIA;12;3100;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;40;20133;25;CORSICA;4;9,22423E+11;4,54635E+11;45.4634903786 / 9.22423182868
59;PE/24572;Piazzale LOTTO LORENZO N. 14 (z.d. 8);SOMMINISTRAZIONE - In piano;Piazzale LOTTO LORENZO;14;6539;;;400;20148;58;DE ANGELI - MONTE ROSA;8;9,14348E+14;4,54806E+13;45.480633666951 / 9.14347656323903
60;PE/24580;Via FRANCESCO D'ASSISI (SAN) N. 2 con ingresso in via mercalli (z.d. 1);SOMMINISTRAZIONE - In piano;Via FRANCESCO D'ASSISI (SAN);2;4020;a - Ristorante, trattoria, osteria con cucina e simili;;70;20122;5;VIGENTINA;1;9,18999E+11;4,54553E+11;45.4552712433 / 9.18999273398
61;PE/29107;VIA URBANO III N. 4 (z.d. 1);SOMMINISTRAZIONE - In piano;VIA URBANO III;4;588;f - Bar caffè e simili;;35;20123;1;DUOMO;1;9,18168E+11;4,5459E+11;45.4589637659 / 9.18168431414
62;PE/29021;VIA MISSAGLIA (DEI) N. 13 (z.d. 5);SOMMINISTRAZIONE - In piano;VIA MISSAGLIA (DEI);13;5340;c - Tavole calde,self service, fast food e simili|f - Bar caffè e simili;;115;20142;42;STADERA;5;9,17881E+11;4,54267E+11;45.4266948606 / 9.17881491371
63;PE/24581;Viale SABOTINO N. 13 (z.d. 5);SOMMINISTRAZIONE - In piano;Viale SABOTINO;13;4046;g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;;69;20135;27;PTA ROMANA;5;9,19883E+11;4,5451E+11;45.4510293169 / 9.19882993564
64;PE/25992;Via CASSINARI BRUNO N. 2 (z.d. 4);SOMMINISTRAZIONE - In piano;Via CASSINARI BRUNO;2;4386;e - Bar gastronomici e simili|f - Bar caffè e simili;;58;20138;33;ROGOREDO;4;9,24084E+11;4,54358E+11;45.4358104303 / 9.24084433483
65;PE/28259;VIA GUARNERI (DEI) N. 24;SOMMINISTRAZIONE - In piano;VIA GUARNERI (DEI);24;4300;;;12;20141;38;RIPAMONTI;5;9,20436E+11;4,54262E+11;45.4261539127 / 9.20436455016
66;PE/24561;Via INNOMINATO (DELL') N. 4 (z.d. 5);SOMMINISTRAZIONE - In piano;Via INNOMINATO (DELL');4;5414;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili;;286;;;;5;9,17124E+11;4,54359E+11;45.4358815259 / 9.17124294117
67;C-PE/12684;Via RAVIZZA CARLO N. 1| isolato:209| accesso: accesso esterno| (z.d. 7);SOMMINISTRAZIONE - In piano;Via RAVIZZA CARLO;1;6285;;;64;20149;58;DE ANGELI - MONTE ROSA;7;9,15252E+11;4,54672E+11;45.4672460756 / 9.15252429444
68;C-PE/12685;Via MARCO D'AGRATE N. 15| isolato:114| accesso: accesso esterno| (z.d. 5);SOMMINISTRAZIONE - In piano;Via MARCO D'AGRATE;15;4276;;barkollo cafe;69;20139;36;SCALO ROMANA;5;9,21404E+11;45436779562;45.436779562 / 9.21404203758
69;C-PE/12693;Via FRAPOLLI LUIGI N. 40| isolato:218| accesso: accesso esterno| (z.d. 4);SOMMINISTRAZIONE - In piano;Via FRAPOLLI LUIGI;40;3288;;pizzeria porto di classe;28;20133;25;CORSICA;4;9,22952E+11;45467238873;45.467238873 / 9.22952348045
70;C-PE/12694;Via GESU' N. 6 num.006/8 /8|cso venezia 003| isolato:261| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Via GESU';6;227;;ristorante bar caffe;1151;20121;1;DUOMO;1;91949780652;45469317283;45.469317283 / 9.1949780652
71;C-PE/12699;Alzaia NAVIGLIO PAVESE N. 10| isolato:075| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;Alzaia NAVIGLIO PAVESE;10;5161;;pancho villa;57;20143;44;NAVIGLI;6;9,17759E+11;4,54509E+11;45.4508694483 / 9.17758879851
72;C-PE/12703-1;VIA NN N. 0 ();SOMMINISTRAZIONE - In piano;VIA NN;0;0;;;;;;;;;;
73;C-PE/12708;VIA VILLORESI EUGENIO N. 33| isolato:063| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;VIA VILLORESI EUGENIO;33;5145;;;252;20143;44;NAVIGLI;6;9,16394E+11;4,54465E+11;45.4465406626 / 9.16393998348
74;C-PE/12713;Via FERRUCCI FRANCESCO num.022/a /a| (z.d. 8);SOMMINISTRAZIONE - In piano;Via FERRUCCI FRANCESCO;;7150;;;199;;;;;;;
75;C-PE/12714-1;Via FARINI CARLO N. 33| isolato:253| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via FARINI CARLO;33;1114;;bar caffe;58;20159;11;ISOLA;9;9,18295E+11;4,54893E+11;45.4893384007 / 9.18295261553
76;C-PE/12716;Via APRICA (DELL') N. 2| isolato:105| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via APRICA (DELL');2;1223;a - Ristorante, trattoria, osteria con cucina e simili;ristorante piccolo fumino;48;20158;78;FARINI;9;9,18166E+11;4,54934E+11;45.4934014897 / 9.18165853344
77;C-PE/12717;Via CABELLA BARTOLOMEO N. 6| isolato:149| accesso: accesso esterno| (z.d. 7);SOMMINISTRAZIONE - In piano;Via CABELLA BARTOLOMEO;6;6778;;;62;20152;55;BAGGIO;7;9,09502E+11;4,54598E+11;45.4598126955 / 9.09502013413
78;C-PE/12719;VIA GIOIA MELCHIORRE N. 141| isolato:124| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;VIA GIOIA MELCHIORRE;141;1108;e - Bar gastronomici e simili|f - Bar caffè e simili|g - Bar pasticceria, bar gelateria, cremeria, creperia e simili;pasticceria alvin s;112;20125;12;MACIACHINI - MAGGIOLINA;2;9,20715E+11;4,54952E+11;45.4951935696 / 9.20715107897
79;C-PE/12720;Via TEODOSIO N. 3| isolato:054| accesso: accesso esterno| (z.d. 3);SOMMINISTRAZIONE - In piano;Via TEODOSIO;3;2550;;non solo caffe alimentari;41;20131;22;CITTA' STUDI;3;9,22974E+11;4,54827E+11;45.4827142315 / 9.22974218039
80;C-PE/12724;VIA SPERONARI N. 3|via speronari 003| isolato:446| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;VIA SPERONARI;3;658;a - Ristorante, trattoria, osteria con cucina e simili;casa del caffe vergnano;95;20123;1;DUOMO;1;9,17755E+11;4,5465E+11;45.4650073038 / 9.17754762318
81;C-PE/12731;Via COLA DI RIENZO N. 57| isolato:013| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;Via COLA DI RIENZO;57;6094;;;112;20144;50;TORTONA;6;9,15525E+11;4,54544E+11;45.4544058503 / 9.15525492203
82;C-PE/12737;Viale BEZZI ERGISTO N. 82 (z.d. 7);SOMMINISTRAZIONE - In piano;Viale BEZZI ERGISTO;82;6272;f - Bar caffè e simili;slect market bar;62;20146;52;BANDE NERE;7;9,14893E+14;4,54606E+14;45.4605837488882 / 9.14892923999559
83;C-PE/12747;Via VIGEVANO N. 33| isolato:051| accesso: accesso esterno| (z.d. 6);SOMMINISTRAZIONE - In piano;Via VIGEVANO;33;5116;;;131;20144;44;NAVIGLI;6;9,17189E+11;4,5453E+11;45.4529841794 / 9.17189322188
84;C-PE/12756;Via MARSALA N. 2 con ingresso da via solferino| isolato:006| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Via MARSALA;2;1035;;caffe letterario;59;20121;2;BRERA;1;9,18796E+11;4,54784E+11;45.4783814691 / 9.18795508198
85;C-PE/12758;Via MINIATO (SAN) N. 4| isolato:028| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Via MINIATO (SAN);4;1621;;l isola della pizza;178;20162;14;NIGUARDA - CA' GRANDA;9;9,20704E+11;4,55244E+11;45.5244058177 / 9.20704053096
86;C-PE/13690;Via FRASCHINI (F.LLI) N. 6 angolo via d'ascanio| accesso: accesso esterno| (z.d. 5);SOMMINISTRAZIONE - In piano;Via FRASCHINI (F.LLI);6;4355;;;84;20142;41;GRATOSOGLIO - TICINELLO;5;9,17801E+11;4,54187E+11;45.4187362061 / 9.17801387626
87;C-PE/13695;Via CORELLI ARCANGELO num.138/11 /11| accesso: accesso esterno| (z.d. 3);SOMMINISTRAZIONE - In piano;Via CORELLI ARCANGELO;;3243;a - Ristorante, trattoria, osteria con cucina e simili|d - Pizzerie e simili|e - Bar gastronomici e simili;;60;;;;;;;
88;C-PE/13698;Via CADOLINI GIOVANNI N. 39| isolato:183| accesso: accesso esterno| (z.d. 4);SOMMINISTRAZIONE - In piano;Via CADOLINI GIOVANNI;39;4098;e - Bar gastronomici e simili;gogancia;335;20137;28;UMBRIA - MOLISE;4;92215715338;4,5447E+11;45.4469745844 / 9.2215715338
89;C-PE/13725;Viale RESTELLI FRANCESCO num.001/b /b| isolato:285| accesso: accesso esterno| (z.d. 9);SOMMINISTRAZIONE - In piano;Viale RESTELLI FRANCESCO;;1163;c - Tavole calde,self service, fast food e simili;verde blu bar;466;;;;;;;
90;C-PE/12125;Via DANTE ALIGHIERI N. 15|via dante alighieri 015| isolato:371| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Via DANTE ALIGHIERI;15;612;;;38;20123;1;DUOMO;1;9,18324E+11;45467331581;45.467331581 / 9.18323941696
91;C-PE/12137;Strada CARITA' (DELLA) N. 2| isolato:176| accesso: accesso esterno| (z.d. 4);SOMMINISTRAZIONE - In piano;Strada CARITA' (DELLA);2;4083;;ristorante 4 stagioni;115;20135;27;PTA ROMANA;4;9,20766E+11;4,54494E+11;45.4493720369 / 9.20766479378
92;C-PE/12138;VIA MERAVIGLI N. 2|via meravigli 002| isolato:375| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;VIA MERAVIGLI;2;614;a - Ristorante, trattoria, osteria con cucina e simili|e - Bar gastronomici e simili|f - Bar caffè e simili;;75;20123;1;DUOMO;1;9,18475E+11;4,5466E+11;45.4660081351 / 9.18474664084
93;C-PE/12142;Largo DONEGANI GUIDO N. 1| isolato:091| accesso: accesso esterno| (z.d. 1);SOMMINISTRAZIONE - In piano;Largo DONEGANI GUIDO;1;1009;a - Ristorante, trattoria, osteria con cucina e simili|c - Tavole calde,self service, fast food e simili|d - Pizzerie e simili|e - Bar gastronomici e simili|h - Wine bar, birreria, pub enoteche, caffetteria, sala da te e simili|f - Bar caffè e simili;subway cafe;138;20121;2;BRERA;1;9,19439E+11;4,54752E+11;45.4752283781 / 9.19438595047
94;C-PE/12161;Via FARAVELLI LUIGI GIUSEPPE N. 8| isolato:339| accesso: accesso esterno| (z.d. 8);SOMMINISTRAZIONE - In piano;Via FARAVELLI LUIGI GIUSEPPE;8;7162;a - Ristorante, trattoria, osteria con cucina e simili;;174;20149;67;PORTELLO;8;9,15503E+11;4,54855E+11;45.4854590255 / 9.15502730587
95;C-PE/12163;Via COSTA ANDREA N. 3| isolato:358| accesso: accesso esterno| (z.d. 2);SOMMINISTRAZIONE - In piano;Via COSTA ANDREA;3;2276;;bar mercurio;59;20131;20;LORETO;2;9,21856E+11;4,54868E+11;45.4867722642 / 9.21856143138
