Numéro de la station;Nom de la station;Adresse;Code postal;Numéro de la borne d'appel taxi;Coordonnées X en LB93;Coordonnées Y_LB93;geo_shape;geo_point_2d
078;Place Victor Hugo;1 PLACE VICTOR HUGO;75016;0145530011;647627.582;6863536.824;"{""coordinates"": [2.286034367514356, 48.86972786888336], ""type"": ""Point""}";48.8697278689,2.28603436751
047;Château de Vincennes;ROUTE DES PELOUSES DE MARIGNY;75012;0148080000;659070.3307;6860696.3965;"{""coordinates"": [2.442294913147549, 48.84501278105537], ""type"": ""Point""}";48.8450127811,2.44229491315
030;Place des Ternes;272 RUE DU FAUBOURG SAINT-HONORÉ;75008;0147630000;648575.684;6864422.305;"{""coordinates"": [2.298851473488194, 48.87776714239824], ""type"": ""Point""}";48.8777671424,2.29885147349
090;Porte de Saint Ouen;3 AVENUE DE LA PORTE DE SAINT OUEN;75017;0142630000;650790.197;6866685.01;"{""coordinates"": [2.328781681372778, 48.89828783342163], ""type"": ""Point""}";48.8982878334,2.32878168137
016;Mabillon;4 RUE DU FOUR;75006;0143290000;651214.375;6861646.882;"{""coordinates"": [2.335145763027637, 48.853013570075134], ""type"": ""Point""}";48.8530135701,2.33514576303
058;Denfert Rochereau;297 BOULEVARD RASPAIL;75014;0143350000;651002.469;6859646.136;"{""coordinates"": [2.332488520270279, 48.83500480200747], ""type"": ""Point""}";48.835004802,2.33248852027
072;La Muette;11 DE LA MUETTE;75016;0142880000;646714.78;6862245.707;"{""coordinates"": [2.273753193161377, 48.858042281465686], ""type"": ""Point""}";48.8580422815,2.27375319316
100;Buttes Chaumont - Botzaris;28 RUE BOTZARIS;75019;0142060132;654634.16;6864379.927;"{""coordinates"": [2.381457120533004, 48.8778413369952], ""type"": ""Point""}";48.877841337,2.38145712053
;Kléber - Boissières;61 AVENUE KLÉBER;75016;0170363297;647914.586;6863167.049;"{""coordinates"": [2.289992056176084, 48.866425847160464], ""type"": ""Point""}";48.8664258472,2.28999205618
008;Saint-Paul;8 RUE DE RIVOLI;75004;0148874939;653106.92;6861893.475;"{""coordinates"": [2.360909163667566, 48.85537169056567], ""type"": ""Point""}";48.8553716906,2.36090916367
052;Place d'Italie;BOULEVARD VINCENT AURIOL;75013;0145833493;653427.8047;6859531.811;"{""coordinates"": [2.365540820137606, 48.8341564891178], ""type"": ""Point""}";48.8341564891,2.36554082014
061;Plaisance;132 RUE RAYMOND LOSSERAND;75014;0145416600;649606.393;6859281.517;"{""coordinates"": [2.313513390039407, 48.83161811388794], ""type"": ""Point""}";48.8316181139,2.31351339004
115;Porte de Montreuil;3 AVENUE DE LA PORTE DE MONTREUIL;75020;0143700000;656800.866;6861691.87;"{""coordinates"": [2.411271315709681, 48.85381694294469], ""type"": ""Point""}";48.8538169429,2.41127131571
009;Place Saint-Michel;29 QUAI SAINT MICHEL;75005;0143296366;651922.432;6861698.117;"{""coordinates"": [2.344788978274097, 48.85352754842675], ""type"": ""Point""}";48.8535275484,2.34478897827
039;République;1bis AVENUE DE LA RÉPUBLIQUE;75011;0142714204;653499.255;6863184.854;"{""coordinates"": [2.3661146592073, 48.867013346813], ""type"": ""Point""}";48.8670133468,2.36611465921
044;Bastille;10 PLACE DE LA BASTILLE;75012;0143470332;653581.272;6860986.595;"{""coordinates"": [2.367472681875565, 48.847250504116126], ""type"": ""Point""}";48.8472505041,2.36747268188
045;Daumesnil - Felix Eboué;5 PLACE FÉLIX EBOUÉ;75012;0143430000;655654.911;6860166.469;"{""coordinates"": [2.395813615839367, 48.8400211180499], ""type"": ""Point""}";48.840021118,2.39581361584
065;Convention - Vaugirard;306 RUE DE VAUGIRARD;75015;0142500000;648426.476;6859983.819;"{""coordinates"": [2.297355686185984, 48.837840603527766], ""type"": ""Point""}";48.8378406035,2.29735568619
068;La Motte-Picquet Grenelle;65 AVENUE DE LA MOTTE-PICQUET;75015;0145660000;648523.364;6861254.751;"{""coordinates"": [2.298521811143102, 48.84927778988503], ""type"": ""Point""}";48.8492777899,2.29852181114
